Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6
aids,muscle_wasting,patches_in_throat,extra_marital_contacts,unknown,unknown,unknown
aids,muscle_wasting,patches_in_throat,high_fever,unknown,unknown,unknown
aids,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,unknown,unknown
aids,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,unknown,unknown
aids,patches_in_throat,high_fever,extra_marital_contacts,unknown,unknown,unknown
aids,muscle_wasting,high_fever,extra_marital_contacts,unknown,unknown,unknown
aids,muscle_wasting,patches_in_throat,high_fever,unknown,unknown,unknown
diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision
diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision
diabetes,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity
diabetes,fatigue,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity
diabetes,fatigue,weight_loss,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity
diabetes,fatigue,weight_loss,restlessness,irregular_sugar_level,blurred_and_distorted_vision,obesity
diabetes,fatigue,weight_loss,restlessness,lethargy,blurred_and_distorted_vision,obesity
diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,obesity
diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision
diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision
gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea,unknown,unknown
gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea,unknown,unknown
gastroenteritis,sunken_eyes,dehydration,diarrhoea,unknown,unknown,unknown
gastroenteritis,vomiting,dehydration,diarrhoea,unknown,unknown,unknown
gastroenteritis,vomiting,sunken_eyes,diarrhoea,unknown,unknown,unknown
gastroenteritis,vomiting,sunken_eyes,dehydration,unknown,unknown,unknown
gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea,unknown,unknown
gastroenteritis,sunken_eyes,dehydration,diarrhoea,unknown,unknown,unknown
gastroenteritis,vomiting,dehydration,diarrhoea,unknown,unknown,unknown
gastroenteritis,vomiting,sunken_eyes,diarrhoea,unknown,unknown,unknown
bronchial_asthma,fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum
bronchial_asthma,cough,high_fever,breathlessness,family_history,mucoid_sputum,unknown
bronchial_asthma,fatigue,high_fever,breathlessness,family_history,mucoid_sputum,unknown
bronchial_asthma,fatigue,cough,breathlessness,family_history,mucoid_sputum,unknown
bronchial_asthma,fatigue,cough,high_fever,family_history,mucoid_sputum,unknown
bronchial_asthma,fatigue,cough,high_fever,breathlessness,mucoid_sputum,unknown
bronchial_asthma,fatigue,cough,high_fever,breathlessness,family_history,unknown
bronchial_asthma,fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum
bronchial_asthma,cough,high_fever,breathlessness,family_history,mucoid_sputum,unknown
bronchial_asthma,fatigue,high_fever,breathlessness,family_history,mucoid_sputum,unknown
hypertension,headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration,unknown
hypertension,chest_pain,dizziness,loss_of_balance,lack_of_concentration,unknown,unknown
hypertension,headache,dizziness,loss_of_balance,lack_of_concentration,unknown,unknown
hypertension,headache,chest_pain,loss_of_balance,lack_of_concentration,unknown,unknown
hypertension,headache,chest_pain,dizziness,lack_of_concentration,unknown,unknown
hypertension,headache,chest_pain,dizziness,loss_of_balance,unknown,unknown
hypertension,headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration,unknown
hypertension,chest_pain,dizziness,loss_of_balance,lack_of_concentration,unknown,unknown
hypertension,headache,dizziness,loss_of_balance,lack_of_concentration,unknown,unknown
hypertension,headache,chest_pain,loss_of_balance,lack_of_concentration,unknown,unknown
migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck
migraine,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression
migraine,acidity,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression
migraine,acidity,indigestion,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression
migraine,acidity,indigestion,headache,excessive_hunger,stiff_neck,depression
migraine,acidity,indigestion,headache,blurred_and_distorted_vision,stiff_neck,depression
migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,depression
migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck
migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck
migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck
cervical_spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,unknown
cervical_spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,unknown
cervical_spondylosis,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,unknown,unknown
cervical_spondylosis,back_pain,neck_pain,dizziness,loss_of_balance,unknown,unknown
cervical_spondylosis,back_pain,weakness_in_limbs,dizziness,loss_of_balance,unknown,unknown
cervical_spondylosis,back_pain,weakness_in_limbs,neck_pain,loss_of_balance,unknown,unknown
cervical_spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,unknown,unknown
cervical_spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,unknown
cervical_spondylosis,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,unknown,unknown
cervical_spondylosis,back_pain,neck_pain,dizziness,loss_of_balance,unknown,unknown
paralysis_(brain_hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium,unknown,unknown
paralysis_(brain_hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium,unknown,unknown
paralysis_(brain_hemorrhage),headache,weakness_of_one_body_side,altered_sensorium,unknown,unknown,unknown
paralysis_(brain_hemorrhage),vomiting,weakness_of_one_body_side,altered_sensorium,unknown,unknown,unknown
paralysis_(brain_hemorrhage),vomiting,headache,altered_sensorium,unknown,unknown,unknown
paralysis_(brain_hemorrhage),vomiting,headache,weakness_of_one_body_side,unknown,unknown,unknown
paralysis_(brain_hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium,unknown,unknown
paralysis_(brain_hemorrhage),headache,weakness_of_one_body_side,altered_sensorium,unknown,unknown,unknown
paralysis_(brain_hemorrhage),vomiting,weakness_of_one_body_side,altered_sensorium,unknown,unknown,unknown
paralysis_(brain_hemorrhage),vomiting,headache,altered_sensorium,unknown,unknown,unknown
jaundice,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin
jaundice,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin
jaundice,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine
jaundice,itching,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine
jaundice,itching,vomiting,weight_loss,high_fever,yellowish_skin,dark_urine
jaundice,itching,vomiting,fatigue,high_fever,yellowish_skin,dark_urine
jaundice,itching,vomiting,fatigue,weight_loss,yellowish_skin,dark_urine
jaundice,itching,vomiting,fatigue,weight_loss,high_fever,dark_urine
jaundice,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin
jaundice,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin
malaria,chills,vomiting,high_fever,sweating,headache,nausea
malaria,chills,vomiting,high_fever,sweating,headache,nausea
malaria,chills,vomiting,high_fever,sweating,headache,nausea
malaria,vomiting,high_fever,sweating,headache,nausea,diarrhoea
malaria,chills,high_fever,sweating,headache,nausea,diarrhoea
malaria,chills,vomiting,sweating,headache,nausea,diarrhoea
malaria,chills,vomiting,high_fever,headache,nausea,diarrhoea
malaria,chills,vomiting,high_fever,sweating,nausea,diarrhoea
malaria,chills,vomiting,high_fever,sweating,headache,diarrhoea
malaria,chills,vomiting,high_fever,sweating,headache,nausea
chicken_pox,itching,skin_rash,fatigue,lethargy,high_fever,headache
chicken_pox,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite
chicken_pox,itching,fatigue,lethargy,high_fever,headache,loss_of_appetite
chicken_pox,itching,skin_rash,lethargy,high_fever,headache,loss_of_appetite
chicken_pox,itching,skin_rash,fatigue,high_fever,headache,loss_of_appetite
chicken_pox,itching,skin_rash,fatigue,lethargy,headache,loss_of_appetite
chicken_pox,itching,skin_rash,fatigue,lethargy,high_fever,loss_of_appetite
chicken_pox,itching,skin_rash,fatigue,lethargy,high_fever,headache
chicken_pox,itching,skin_rash,fatigue,lethargy,high_fever,headache
chicken_pox,itching,skin_rash,fatigue,lethargy,high_fever,headache
dengue,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever
dengue,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever
dengue,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever
dengue,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever
dengue,chills,joint_pain,vomiting,fatigue,high_fever,headache
dengue,skin_rash,joint_pain,vomiting,fatigue,high_fever,headache
dengue,skin_rash,chills,vomiting,fatigue,high_fever,headache
dengue,skin_rash,chills,joint_pain,fatigue,high_fever,headache
dengue,skin_rash,chills,joint_pain,vomiting,high_fever,headache
dengue,skin_rash,chills,joint_pain,vomiting,fatigue,headache
typhoid,chills,vomiting,fatigue,high_fever,nausea,constipation
typhoid,chills,vomiting,fatigue,high_fever,headache,constipation
typhoid,chills,vomiting,fatigue,high_fever,headache,nausea
typhoid,chills,vomiting,fatigue,high_fever,headache,nausea
typhoid,chills,vomiting,fatigue,high_fever,headache,nausea
typhoid,chills,vomiting,fatigue,high_fever,headache,nausea
typhoid,chills,vomiting,fatigue,high_fever,headache,nausea
typhoid,chills,vomiting,fatigue,high_fever,headache,nausea
typhoid,chills,vomiting,fatigue,high_fever,headache,nausea
typhoid,chills,fatigue,high_fever,headache,nausea,constipation
hepatitis_a,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite
hepatitis_a,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite
hepatitis_a,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain
hepatitis_a,joint_pain,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain
hepatitis_a,joint_pain,vomiting,dark_urine,nausea,loss_of_appetite,abdominal_pain
hepatitis_a,joint_pain,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain
hepatitis_a,joint_pain,vomiting,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain
hepatitis_a,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,abdominal_pain
hepatitis_a,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite
hepatitis_a,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite
hepatitis_b,itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite
hepatitis_b,itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite
hepatitis_b,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain
hepatitis_b,itching,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain
hepatitis_b,itching,fatigue,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain
hepatitis_b,itching,fatigue,lethargy,dark_urine,loss_of_appetite,abdominal_pain
hepatitis_b,itching,fatigue,lethargy,yellowish_skin,loss_of_appetite,abdominal_pain
hepatitis_b,itching,fatigue,lethargy,yellowish_skin,dark_urine,abdominal_pain
hepatitis_b,itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite
hepatitis_b,itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite
hepatitis_c,fatigue,yellowish_skin,nausea,loss_of_appetite,family_history,unknown
hepatitis_c,fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history
hepatitis_c,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history,unknown
hepatitis_c,fatigue,nausea,loss_of_appetite,yellowing_of_eyes,family_history,unknown
hepatitis_c,fatigue,yellowish_skin,loss_of_appetite,yellowing_of_eyes,family_history,unknown
hepatitis_c,fatigue,yellowish_skin,nausea,yellowing_of_eyes,family_history,unknown
hepatitis_c,fatigue,yellowish_skin,nausea,loss_of_appetite,family_history,unknown
hepatitis_c,fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,unknown
hepatitis_c,fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history
hepatitis_c,fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history
hepatitis_d,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea
hepatitis_d,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite
hepatitis_d,joint_pain,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite
hepatitis_d,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite
hepatitis_d,joint_pain,vomiting,fatigue,dark_urine,nausea,loss_of_appetite
hepatitis_d,joint_pain,vomiting,fatigue,yellowish_skin,nausea,loss_of_appetite
hepatitis_d,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,loss_of_appetite
hepatitis_d,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea
hepatitis_d,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea
hepatitis_d,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea
hepatitis_e,joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine
hepatitis_e,joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine
hepatitis_e,joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine
hepatitis_e,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea
hepatitis_e,joint_pain,fatigue,high_fever,yellowish_skin,dark_urine,nausea
hepatitis_e,joint_pain,vomiting,high_fever,yellowish_skin,dark_urine,nausea
hepatitis_e,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea
hepatitis_e,joint_pain,vomiting,fatigue,high_fever,dark_urine,nausea
hepatitis_e,joint_pain,vomiting,fatigue,high_fever,yellowish_skin,nausea
hepatitis_e,joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine
alcoholic_hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption
alcoholic_hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption
alcoholic_hepatitis,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload
alcoholic_hepatitis,vomiting,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload
alcoholic_hepatitis,vomiting,yellowish_skin,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload
alcoholic_hepatitis,vomiting,yellowish_skin,abdominal_pain,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload
alcoholic_hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,history_of_alcohol_consumption,fluid_overload
alcoholic_hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,fluid_overload
alcoholic_hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption
alcoholic_hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption
tuberculosis,chills,vomiting,fatigue,weight_loss,cough,high_fever
tuberculosis,chills,vomiting,fatigue,weight_loss,cough,high_fever
tuberculosis,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness
tuberculosis,chills,fatigue,weight_loss,cough,high_fever,breathlessness
tuberculosis,chills,vomiting,weight_loss,cough,high_fever,breathlessness
tuberculosis,chills,vomiting,fatigue,cough,high_fever,breathlessness
tuberculosis,chills,vomiting,fatigue,weight_loss,high_fever,breathlessness
tuberculosis,chills,vomiting,fatigue,weight_loss,cough,breathlessness
tuberculosis,chills,vomiting,fatigue,weight_loss,cough,high_fever
tuberculosis,chills,vomiting,fatigue,weight_loss,cough,high_fever
common_cold,continuous_sneezing,chills,fatigue,cough,high_fever,headache
common_cold,continuous_sneezing,chills,fatigue,cough,high_fever,headache
common_cold,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes
common_cold,continuous_sneezing,fatigue,cough,high_fever,headache,swelled_lymph_nodes
common_cold,continuous_sneezing,chills,cough,high_fever,headache,swelled_lymph_nodes
common_cold,continuous_sneezing,chills,fatigue,high_fever,headache,swelled_lymph_nodes
common_cold,continuous_sneezing,chills,fatigue,cough,headache,swelled_lymph_nodes
common_cold,continuous_sneezing,chills,fatigue,cough,high_fever,swelled_lymph_nodes
common_cold,continuous_sneezing,chills,fatigue,cough,high_fever,headache
common_cold,continuous_sneezing,chills,fatigue,cough,high_fever,headache
pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating
pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating
pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating
pneumonia,fatigue,cough,high_fever,breathlessness,sweating,malaise
pneumonia,chills,cough,high_fever,breathlessness,sweating,malaise
pneumonia,chills,fatigue,high_fever,breathlessness,sweating,malaise
pneumonia,chills,fatigue,cough,breathlessness,sweating,malaise
pneumonia,chills,fatigue,cough,high_fever,sweating,malaise
pneumonia,chills,fatigue,cough,high_fever,breathlessness,malaise
pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating
dimorphic_hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus,unknown
